symbol,timeframe,model,csv_path,result_dir,command,rows,test_rows,prediction_windows,pred_len,pred_step,trade_count,coverage,win_rate,avg_win,avg_loss,win_loss_ratio,profit_factor,cumulative_return,max_drawdown,mean_trade_return,pred_direction_acc,threshold_bps,cost_bps,status
EURUSD,M15,DLinear,C:\Users\29083\AppData\Roaming\MetaQuotes\Terminal\Common\Files\tslib\EURUSD_M15.csv,D:\python_workspace\Time-Series-Library\results\long_term_forecast_EURUSD_M15_DLinear_sl96_pl1_DLinear_custom_ftMS_sl96_ll48_pl1_dm64_nh4_el2_dl1_df128_expand2_dc4_fc1_ebtimeF_dtTrue_quant_0,D:\python_workspace\Quant\.venv\liangwen2\Scripts\python.exe run.py --task_name long_term_forecast --is_training 1 --model_id EURUSD_M15_DLinear_sl96_pl1 --model DLinear --data custom --root_path C:\Users\29083\AppData\Roaming\MetaQuotes\Terminal\Common\Files\tslib --data_path EURUSD_M15.csv --features MS --target close --freq 15min --seq_len 96 --label_len 48 --pred_len 1 --enc_in 12 --dec_in 12 --c_out 12 --d_model 64 --n_heads 4 --e_layers 2 --d_layers 1 --d_ff 128 --factor 1 --expand 2 --d_conv 4 --embed timeF --train_epochs 3 --batch_size 64 --learning_rate 0.0001 --num_workers 0 --des quant --itr 1 --inverse --gpu 0 --gpu_type cuda,12000.0,2400.0,2400.0,1.0,0.0,1994.0,0.8308333333333333,0.2998996990972918,0.0003621596307364,0.0004248657456442,0.852409577494247,0.3651439307604295,-0.3140099890554462,0.3142108532106828,-0.0001888370720857,0.5075225677031093,3.0,2.0,ok
EURUSD,H1,DLinear,C:\Users\29083\AppData\Roaming\MetaQuotes\Terminal\Common\Files\tslib\EURUSD_H1.csv,D:\python_workspace\Time-Series-Library\results\long_term_forecast_EURUSD_H1_DLinear_sl96_pl1_DLinear_custom_ftMS_sl96_ll48_pl1_dm64_nh4_el2_dl1_df128_expand2_dc4_fc1_ebtimeF_dtTrue_quant_0,D:\python_workspace\Quant\.venv\liangwen2\Scripts\python.exe run.py --task_name long_term_forecast --is_training 1 --model_id EURUSD_H1_DLinear_sl96_pl1 --model DLinear --data custom --root_path C:\Users\29083\AppData\Roaming\MetaQuotes\Terminal\Common\Files\tslib --data_path EURUSD_H1.csv --features MS --target close --freq h --seq_len 96 --label_len 48 --pred_len 1 --enc_in 12 --dec_in 12 --c_out 12 --d_model 64 --n_heads 4 --e_layers 2 --d_layers 1 --d_ff 128 --factor 1 --expand 2 --d_conv 4 --embed timeF --train_epochs 3 --batch_size 64 --learning_rate 0.0001 --num_workers 0 --des quant --itr 1 --inverse --gpu 0 --gpu_type cuda,12000.0,2400.0,2400.0,1.0,0.0,2157.0,0.89875,0.354195642095503,0.0005187794182155,0.0005945639641093,0.8725376066017227,0.4785489816537804,-0.3511856435863466,0.3518435181730682,-0.0002002225899339,0.5113583681038479,3.0,2.0,ok
EURUSD,H4,DLinear,C:\Users\29083\AppData\Roaming\MetaQuotes\Terminal\Common\Files\tslib\EURUSD_H4.csv,D:\python_workspace\Time-Series-Library\results\long_term_forecast_EURUSD_H4_DLinear_sl96_pl1_DLinear_custom_ftMS_sl96_ll48_pl1_dm64_nh4_el2_dl1_df128_expand2_dc4_fc1_ebtimeF_dtTrue_quant_0,D:\python_workspace\Quant\.venv\liangwen2\Scripts\python.exe run.py --task_name long_term_forecast --is_training 1 --model_id EURUSD_H4_DLinear_sl96_pl1 --model DLinear --data custom --root_path C:\Users\29083\AppData\Roaming\MetaQuotes\Terminal\Common\Files\tslib --data_path EURUSD_H4.csv --features MS --target close --freq 4h --seq_len 96 --label_len 48 --pred_len 1 --enc_in 12 --dec_in 12 --c_out 12 --d_model 64 --n_heads 4 --e_layers 2 --d_layers 1 --d_ff 128 --factor 1 --expand 2 --d_conv 4 --embed timeF --train_epochs 3 --batch_size 64 --learning_rate 0.0001 --num_workers 0 --des quant --itr 1 --inverse --gpu 0 --gpu_type cuda,12000.0,2400.0,2400.0,1.0,0.0,2288.0,0.9533333333333334,0.4497377622377622,0.0012955731089181,0.0014058390246912,0.9215657597801198,0.7532098227273576,-0.3567594970500848,0.3678478311794853,-0.0001909119768398,0.5227272727272727,3.0,2.0,ok
GBPUSD,M15,DLinear,C:\Users\29083\AppData\Roaming\MetaQuotes\Terminal\Common\Files\tslib\GBPUSD_M15.csv,D:\python_workspace\Time-Series-Library\results\long_term_forecast_GBPUSD_M15_DLinear_sl96_pl1_DLinear_custom_ftMS_sl96_ll48_pl1_dm64_nh4_el2_dl1_df128_expand2_dc4_fc1_ebtimeF_dtTrue_quant_0,D:\python_workspace\Quant\.venv\liangwen2\Scripts\python.exe run.py --task_name long_term_forecast --is_training 1 --model_id GBPUSD_M15_DLinear_sl96_pl1 --model DLinear --data custom --root_path C:\Users\29083\AppData\Roaming\MetaQuotes\Terminal\Common\Files\tslib --data_path GBPUSD_M15.csv --features MS --target close --freq 15min --seq_len 96 --label_len 48 --pred_len 1 --enc_in 12 --dec_in 12 --c_out 12 --d_model 64 --n_heads 4 --e_layers 2 --d_layers 1 --d_ff 128 --factor 1 --expand 2 --d_conv 4 --embed timeF --train_epochs 3 --batch_size 64 --learning_rate 0.0001 --num_workers 0 --des quant --itr 1 --inverse --gpu 0 --gpu_type cuda,12000.0,2400.0,2400.0,1.0,0.0,2001.0,0.83375,0.3243378310844578,0.0004121981098443,0.0004714500773637,0.8743197416560708,0.419699343442892,-0.3094899937351218,0.309936774888885,-0.0001848495408829,0.5077461269365318,3.0,2.0,ok
GBPUSD,H1,DLinear,C:\Users\29083\AppData\Roaming\MetaQuotes\Terminal\Common\Files\tslib\GBPUSD_H1.csv,D:\python_workspace\Time-Series-Library\results\long_term_forecast_GBPUSD_H1_DLinear_sl96_pl1_DLinear_custom_ftMS_sl96_ll48_pl1_dm64_nh4_el2_dl1_df128_expand2_dc4_fc1_ebtimeF_dtTrue_quant_0,D:\python_workspace\Quant\.venv\liangwen2\Scripts\python.exe run.py --task_name long_term_forecast --is_training 1 --model_id GBPUSD_H1_DLinear_sl96_pl1 --model DLinear --data custom --root_path C:\Users\29083\AppData\Roaming\MetaQuotes\Terminal\Common\Files\tslib --data_path GBPUSD_H1.csv --features MS --target close --freq h --seq_len 96 --label_len 48 --pred_len 1 --enc_in 12 --dec_in 12 --c_out 12 --d_model 64 --n_heads 4 --e_layers 2 --d_layers 1 --d_ff 128 --factor 1 --expand 2 --d_conv 4 --embed timeF --train_epochs 3 --batch_size 64 --learning_rate 0.0001 --num_workers 0 --des quant --itr 1 --inverse --gpu 0 --gpu_type cuda,12000.0,2400.0,2400.0,1.0,0.0,2136.0,0.89,0.4026217228464419,0.0006090472555806,0.0007060537113836,0.8626075407026694,0.5813812578403571,-0.3148459313009645,0.3171327365214204,-0.0001765654943474,0.523876404494382,3.0,2.0,ok
GBPUSD,H4,DLinear,C:\Users\29083\AppData\Roaming\MetaQuotes\Terminal\Common\Files\tslib\GBPUSD_H4.csv,D:\python_workspace\Time-Series-Library\results\long_term_forecast_GBPUSD_H4_DLinear_sl96_pl1_DLinear_custom_ftMS_sl96_ll48_pl1_dm64_nh4_el2_dl1_df128_expand2_dc4_fc1_ebtimeF_dtTrue_quant_0,D:\python_workspace\Quant\.venv\liangwen2\Scripts\python.exe run.py --task_name long_term_forecast --is_training 1 --model_id GBPUSD_H4_DLinear_sl96_pl1 --model DLinear --data custom --root_path C:\Users\29083\AppData\Roaming\MetaQuotes\Terminal\Common\Files\tslib --data_path GBPUSD_H4.csv --features MS --target close --freq 4h --seq_len 96 --label_len 48 --pred_len 1 --enc_in 12 --dec_in 12 --c_out 12 --d_model 64 --n_heads 4 --e_layers 2 --d_layers 1 --d_ff 128 --factor 1 --expand 2 --d_conv 4 --embed timeF --train_epochs 3 --batch_size 64 --learning_rate 0.0001 --num_workers 0 --des quant --itr 1 --inverse --gpu 0 --gpu_type cuda,12000.0,2400.0,2400.0,1.0,0.0,2285.0,0.9520833333333332,0.4542669584245076,0.0013357025623573,0.0013981117443295,0.9553618069332508,0.7952410229324093,-0.3031779693718482,0.3290486844882779,-0.0001562302343335,0.5102844638949672,3.0,2.0,ok
USDJPY,M15,DLinear,C:\Users\29083\AppData\Roaming\MetaQuotes\Terminal\Common\Files\tslib\USDJPY_M15.csv,D:\python_workspace\Time-Series-Library\results\long_term_forecast_USDJPY_M15_DLinear_sl96_pl1_DLinear_custom_ftMS_sl96_ll48_pl1_dm64_nh4_el2_dl1_df128_expand2_dc4_fc1_ebtimeF_dtTrue_quant_0,D:\python_workspace\Quant\.venv\liangwen2\Scripts\python.exe run.py --task_name long_term_forecast --is_training 1 --model_id USDJPY_M15_DLinear_sl96_pl1 --model DLinear --data custom --root_path C:\Users\29083\AppData\Roaming\MetaQuotes\Terminal\Common\Files\tslib --data_path USDJPY_M15.csv --features MS --target close --freq 15min --seq_len 96 --label_len 48 --pred_len 1 --enc_in 12 --dec_in 12 --c_out 12 --d_model 64 --n_heads 4 --e_layers 2 --d_layers 1 --d_ff 128 --factor 1 --expand 2 --d_conv 4 --embed timeF --train_epochs 3 --batch_size 64 --learning_rate 0.0001 --num_workers 0 --des quant --itr 1 --inverse --gpu 0 --gpu_type cuda,12000.0,2400.0,2400.0,1.0,0.0,1995.0,0.83125,0.3238095238095238,0.0003482898198078,0.0004399980458922,0.7915712877804509,0.3790623068244413,-0.3084888434167016,0.3084888434167016,-0.0001847429274751,0.4942355889724311,3.0,2.0,ok
USDJPY,H1,DLinear,C:\Users\29083\AppData\Roaming\MetaQuotes\Terminal\Common\Files\tslib\USDJPY_H1.csv,D:\python_workspace\Time-Series-Library\results\long_term_forecast_USDJPY_H1_DLinear_sl96_pl1_DLinear_custom_ftMS_sl96_ll48_pl1_dm64_nh4_el2_dl1_df128_expand2_dc4_fc1_ebtimeF_dtTrue_quant_0,D:\python_workspace\Quant\.venv\liangwen2\Scripts\python.exe run.py --task_name long_term_forecast --is_training 1 --model_id USDJPY_H1_DLinear_sl96_pl1 --model DLinear --data custom --root_path C:\Users\29083\AppData\Roaming\MetaQuotes\Terminal\Common\Files\tslib --data_path USDJPY_H1.csv --features MS --target close --freq h --seq_len 96 --label_len 48 --pred_len 1 --enc_in 12 --dec_in 12 --c_out 12 --d_model 64 --n_heads 4 --e_layers 2 --d_layers 1 --d_ff 128 --factor 1 --expand 2 --d_conv 4 --embed timeF --train_epochs 3 --batch_size 64 --learning_rate 0.0001 --num_workers 0 --des quant --itr 1 --inverse --gpu 0 --gpu_type cuda,12000.0,2400.0,2400.0,1.0,0.0,2217.0,0.92375,0.3892647722147045,0.0006087273934223,0.000748559299608,0.8131986253341762,0.5183090204308671,-0.3869264985256687,0.38711396284915,-0.0002202154042155,0.4993234100135318,3.0,2.0,ok
USDJPY,H4,DLinear,C:\Users\29083\AppData\Roaming\MetaQuotes\Terminal\Common\Files\tslib\USDJPY_H4.csv,D:\python_workspace\Time-Series-Library\results\long_term_forecast_USDJPY_H4_DLinear_sl96_pl1_DLinear_custom_ftMS_sl96_ll48_pl1_dm64_nh4_el2_dl1_df128_expand2_dc4_fc1_ebtimeF_dtTrue_quant_0,D:\python_workspace\Quant\.venv\liangwen2\Scripts\python.exe run.py --task_name long_term_forecast --is_training 1 --model_id USDJPY_H4_DLinear_sl96_pl1 --model DLinear --data custom --root_path C:\Users\29083\AppData\Roaming\MetaQuotes\Terminal\Common\Files\tslib --data_path USDJPY_H4.csv --features MS --target close --freq 4h --seq_len 96 --label_len 48 --pred_len 1 --enc_in 12 --dec_in 12 --c_out 12 --d_model 64 --n_heads 4 --e_layers 2 --d_layers 1 --d_ff 128 --factor 1 --expand 2 --d_conv 4 --embed timeF --train_epochs 3 --batch_size 64 --learning_rate 0.0001 --num_workers 0 --des quant --itr 1 --inverse --gpu 0 --gpu_type cuda,12000.0,2400.0,2400.0,1.0,0.0,2339.0,0.9745833333333334,0.4660111158614792,0.0017104749634116,0.0018136602425826,0.9431066101862424,0.8230474020040066,-0.3350533512046794,0.3536806443279549,-0.0001713740627905,0.5113296280461735,3.0,2.0,ok
XAUUSD,M15,DLinear,C:\Users\29083\AppData\Roaming\MetaQuotes\Terminal\Common\Files\tslib\XAUUSD_M15.csv,D:\python_workspace\Time-Series-Library\results\long_term_forecast_XAUUSD_M15_DLinear_sl96_pl1_DLinear_custom_ftMS_sl96_ll48_pl1_dm64_nh4_el2_dl1_df128_expand2_dc4_fc1_ebtimeF_dtTrue_quant_0,D:\python_workspace\Quant\.venv\liangwen2\Scripts\python.exe run.py --task_name long_term_forecast --is_training 1 --model_id XAUUSD_M15_DLinear_sl96_pl1 --model DLinear --data custom --root_path C:\Users\29083\AppData\Roaming\MetaQuotes\Terminal\Common\Files\tslib --data_path XAUUSD_M15.csv --features MS --target close --freq 15min --seq_len 96 --label_len 48 --pred_len 1 --enc_in 12 --dec_in 12 --c_out 12 --d_model 64 --n_heads 4 --e_layers 2 --d_layers 1 --d_ff 128 --factor 1 --expand 2 --d_conv 4 --embed timeF --train_epochs 3 --batch_size 64 --learning_rate 0.0001 --num_workers 0 --des quant --itr 1 --inverse --gpu 0 --gpu_type cuda,12000.0,2400.0,2400.0,1.0,0.0,2326.0,0.9691666666666666,0.4445399828030954,0.0014953940791574,0.0015870859925989,0.9422262474314004,0.7540727088576377,-0.4008102638709745,0.4596982479993532,-0.0002168003545094,0.5081685296646603,3.0,2.0,ok
