symbol,timeframe,dlinear_cumulative_return,patchtst_cumulative_return,return_improvement,dlinear_max_drawdown,patchtst_max_drawdown,drawdown_improvement,dlinear_win_rate,patchtst_win_rate,dlinear_win_loss_ratio,patchtst_win_loss_ratio
EURUSD,M15,-0.3140099890554462,-0.1234139994968124,0.1905959895586338,0.3142108532106828,0.1236073910238761,0.1906034621868067,0.2998996990972918,0.3186813186813186,0.852409577494247,0.9557681604959724
GBPUSD,M15,-0.3094899937351218,-0.1337306164377705,0.1757593772973513,0.309936774888885,0.1337306164377705,0.17620615845111448,0.3243378310844578,0.3491484184914842,0.8743197416560708,0.9083300580733566
EURUSD,H1,-0.3511856435863466,-0.2184838364136903,0.13270180717265628,0.3518435181730682,0.2220647659448771,0.1297787522281911,0.354195642095503,0.3606823720552396,0.8725376066017227,0.9173110373392612
USDJPY,M15,-0.3084888434167016,-0.1796604895921656,0.12882835382453597,0.3084888434167016,0.1799914777112644,0.12849736570543718,0.3238095238095238,0.3310940499040307,0.7915712877804509,0.7459977851728917
USDJPY,H1,-0.3869264985256687,-0.2898156015404862,0.0971108969851825,0.38711396284915,0.2898156015404862,0.09729836130866382,0.3892647722147045,0.3763440860215054,0.8131986253341762,0.8446165322328077
GBPUSD,H1,-0.3148459313009645,-0.2287603091199114,0.08608562218105309,0.3171327365214204,0.232282701778262,0.08485003474315839,0.4026217228464419,0.3986832479882955,0.8626075407026694,0.8587888496746512
EURUSD,H4,-0.3567594970500848,-0.2982679397715001,0.05849155727858468,0.3678478311794853,0.3118572152941892,0.05599061588529608,0.4497377622377622,0.4514925373134328,0.9215657597801198,0.9210067923867932
USDJPY,H4,-0.3350533512046794,-0.2929985302327108,0.04205482097196861,0.3536806443279549,0.3151530845507793,0.03852755977717559,0.4660111158614792,0.4784136546184739,0.9431066101862424,0.8998331803189393
XAUUSD,H1,-0.4740340627154563,-0.436076761081249,0.0379573016342073,0.4964556871397101,0.4606028033358672,0.03585288380384294,0.4567533020877716,0.4710820895522388,0.9743935815227452,0.9290740847685284
XAUUSD,H4,-0.5868942169748453,-0.5674928061950575,0.019401410779787853,0.6213147669468516,0.6097086985345621,0.011606068412289505,0.4458544839255499,0.4700184501845018,1.018641690348278,0.9182187385051984
XAUUSD,M15,-0.4008102638709745,-0.4068986351954022,-0.006088371324427688,0.4596982479993532,0.419528335081073,0.040169912918280204,0.4445399828030954,0.4449108079748163,0.9422262474314004,0.8930218311106515
GBPUSD,H4,-0.3031779693718482,-0.3114220305656271,-0.008244061193778907,0.3290486844882779,0.3233138350690719,0.0057348494192059896,0.4542669584245076,0.4475635593220339,0.9553618069332508,0.9313980526787196
