symbol,timeframe,model,threshold_bps,trade_count,coverage,win_rate,win_loss_ratio,profit_factor,cumulative_return,max_drawdown
EURUSD,M15,PatchTST,0,2400,1.0,0.29,0.8442105875569874,0.3448184090021498,-0.376776128042416,0.376776128042416
EURUSD,M15,PatchTST,3,728,0.30333333333333334,0.31868131868131866,0.9557681604959725,0.44705284926424527,-0.12341399949681242,0.12360739102387619
EURUSD,M15,PatchTST,5,345,0.14375,0.3217391304347826,0.914189577627304,0.4336540304129518,-0.06901829055825892,0.06935381074410751
EURUSD,M15,PatchTST,8,139,0.057916666666666665,0.3381294964028777,1.0776217623789928,0.550524161215355,-0.026298593160390404,0.03207933069624758
EURUSD,M15,PatchTST,10,89,0.037083333333333336,0.34831460674157305,1.4038090374134171,0.7503117268933781,-0.009181458694471956,0.018072979151730117
EURUSD,M15,PatchTST,12,56,0.023333333333333334,0.375,1.4925854169619417,0.8955512501771651,-0.002350090059305532,0.009827250380028962
EURUSD,M15,PatchTST,15,31,0.012916666666666667,0.41935483870967744,0.9815330241786131,0.7088849619067761,-0.0037185080770691936,0.006608828920290688
EURUSD,M15,PatchTST,20,4,0.0016666666666666668,0.5,0.5727065129032317,0.5727065129032317,-0.0007182244065209176,0.0016779355176004263
EURUSD,H1,PatchTST,0,2400,1.0,0.34791666666666665,0.8860018435860196,0.47272302836698177,-0.3843031101305404,0.3866395771550989
EURUSD,H1,PatchTST,3,1231,0.5129166666666667,0.3606823720552396,0.9173110373392613,0.5175172815484524,-0.2184838364136903,0.22206476594487712
EURUSD,H1,PatchTST,5,712,0.2966666666666667,0.3693820224719101,0.9674906203219069,0.566703860010382,-0.1281879452568493,0.13243643545506645
EURUSD,H1,PatchTST,8,328,0.13666666666666666,0.3871951219512195,0.8623498676638605,0.5448678268323894,-0.07599281936278113,0.0788235099962199
EURUSD,H1,PatchTST,10,205,0.08541666666666667,0.34146341463414637,0.811369962471265,0.42071035091102627,-0.06963643831149591,0.07009556896619851
EURUSD,H1,PatchTST,12,128,0.05333333333333334,0.3359375,0.9467552605491307,0.4789467788660309,-0.03969587931582785,0.042011095764758366
EURUSD,H1,PatchTST,15,74,0.030833333333333334,0.36486486486486486,1.0538997691382377,0.6054317822709026,-0.01829950054724916,0.01992299486324345
EURUSD,H1,PatchTST,20,32,0.013333333333333334,0.40625,0.910750106721291,0.6231448098619359,-0.00807163342205508,0.012807400701727367
EURUSD,H4,PatchTST,0,2400,1.0,0.45125,0.9192302982681327,0.7559046416282367,-0.36549431790037057,0.3813943283866722
EURUSD,H4,PatchTST,3,1876,0.7816666666666666,0.45149253731343286,0.9210067923867933,0.758107631828585,-0.2982679397715001,0.3118572152941892
EURUSD,H4,PatchTST,5,1497,0.62375,0.4422177688710755,0.9233810656739804,0.7320697790133833,-0.2755275514255604,0.2829487486011526
