symbol,timeframe,model,csv_path,result_dir,command,rows,test_rows,prediction_windows,pred_len,pred_step,trade_count,coverage,win_rate,avg_win,avg_loss,win_loss_ratio,profit_factor,cumulative_return,max_drawdown,mean_trade_return,pred_direction_acc,threshold_bps,cost_bps,status
EURUSD,M15,DLinear,C:\Users\29083\AppData\Roaming\MetaQuotes\Terminal\Common\Files\tslib\EURUSD_M15.csv,D:\python_workspace\Time-Series-Library\results\long_term_forecast_EURUSD_M15_DLinear_sl96_pl1_DLinear_custom_ftMS_sl96_ll48_pl1_dm64_nh4_el2_dl1_df128_expand2_dc4_fc1_ebtimeF_dtTrue_quant_0,D:\python_workspace\Quant\.venv\liangwen2\Scripts\python.exe run.py --task_name long_term_forecast --is_training 1 --model_id EURUSD_M15_DLinear_sl96_pl1 --model DLinear --data custom --root_path C:\Users\29083\AppData\Roaming\MetaQuotes\Terminal\Common\Files\tslib --data_path EURUSD_M15.csv --features MS --target close --freq 15min --seq_len 96 --label_len 48 --pred_len 1 --enc_in 12 --dec_in 12 --c_out 12 --d_model 64 --n_heads 4 --e_layers 2 --d_layers 1 --d_ff 128 --factor 1 --expand 2 --d_conv 4 --embed timeF --train_epochs 3 --batch_size 64 --learning_rate 0.0001 --num_workers 0 --des quant --itr 1 --inverse --gpu 0 --gpu_type cuda,12000,2400,2400,1,0,1994,0.8308333333333333,0.29989969909729186,0.0003621596307364201,0.0004248657456442814,0.852409577494247,0.3651439307604295,-0.3140099890554462,0.31421085321068287,-0.00018883707208577612,0.5075225677031093,3.0,2.0,ok
EURUSD,H1,DLinear,C:\Users\29083\AppData\Roaming\MetaQuotes\Terminal\Common\Files\tslib\EURUSD_H1.csv,D:\python_workspace\Time-Series-Library\results\long_term_forecast_EURUSD_H1_DLinear_sl96_pl1_DLinear_custom_ftMS_sl96_ll48_pl1_dm64_nh4_el2_dl1_df128_expand2_dc4_fc1_ebtimeF_dtTrue_quant_0,D:\python_workspace\Quant\.venv\liangwen2\Scripts\python.exe run.py --task_name long_term_forecast --is_training 1 --model_id EURUSD_H1_DLinear_sl96_pl1 --model DLinear --data custom --root_path C:\Users\29083\AppData\Roaming\MetaQuotes\Terminal\Common\Files\tslib --data_path EURUSD_H1.csv --features MS --target close --freq h --seq_len 96 --label_len 48 --pred_len 1 --enc_in 12 --dec_in 12 --c_out 12 --d_model 64 --n_heads 4 --e_layers 2 --d_layers 1 --d_ff 128 --factor 1 --expand 2 --d_conv 4 --embed timeF --train_epochs 3 --batch_size 64 --learning_rate 0.0001 --num_workers 0 --des quant --itr 1 --inverse --gpu 0 --gpu_type cuda,12000,2400,2400,1,0,2157,0.89875,0.354195642095503,0.0005187794182155776,0.0005945639641093188,0.8725376066017227,0.47854898165378046,-0.35118564358634663,0.35184351817306825,-0.00020022258993397302,0.5113583681038479,3.0,2.0,ok
EURUSD,H4,DLinear,C:\Users\29083\AppData\Roaming\MetaQuotes\Terminal\Common\Files\tslib\EURUSD_H4.csv,D:\python_workspace\Time-Series-Library\results\long_term_forecast_EURUSD_H4_DLinear_sl96_pl1_DLinear_custom_ftMS_sl96_ll48_pl1_dm64_nh4_el2_dl1_df128_expand2_dc4_fc1_ebtimeF_dtTrue_quant_0,D:\python_workspace\Quant\.venv\liangwen2\Scripts\python.exe run.py --task_name long_term_forecast --is_training 1 --model_id EURUSD_H4_DLinear_sl96_pl1 --model DLinear --data custom --root_path C:\Users\29083\AppData\Roaming\MetaQuotes\Terminal\Common\Files\tslib --data_path EURUSD_H4.csv --features MS --target close --freq 4h --seq_len 96 --label_len 48 --pred_len 1 --enc_in 12 --dec_in 12 --c_out 12 --d_model 64 --n_heads 4 --e_layers 2 --d_layers 1 --d_ff 128 --factor 1 --expand 2 --d_conv 4 --embed timeF --train_epochs 3 --batch_size 64 --learning_rate 0.0001 --num_workers 0 --des quant --itr 1 --inverse --gpu 0 --gpu_type cuda,12000,2400,2400,1,0,2288,0.9533333333333334,0.44973776223776224,0.0012955731089181626,0.0014058390246912806,0.9215657597801198,0.7532098227273576,-0.3567594970500848,0.3678478311794853,-0.00019091197683983096,0.5227272727272727,3.0,2.0,ok
GBPUSD,M15,DLinear,C:\Users\29083\AppData\Roaming\MetaQuotes\Terminal\Common\Files\tslib\GBPUSD_M15.csv,D:\python_workspace\Time-Series-Library\results\long_term_forecast_GBPUSD_M15_DLinear_sl96_pl1_DLinear_custom_ftMS_sl96_ll48_pl1_dm64_nh4_el2_dl1_df128_expand2_dc4_fc1_ebtimeF_dtTrue_quant_0,D:\python_workspace\Quant\.venv\liangwen2\Scripts\python.exe run.py --task_name long_term_forecast --is_training 1 --model_id GBPUSD_M15_DLinear_sl96_pl1 --model DLinear --data custom --root_path C:\Users\29083\AppData\Roaming\MetaQuotes\Terminal\Common\Files\tslib --data_path GBPUSD_M15.csv --features MS --target close --freq 15min --seq_len 96 --label_len 48 --pred_len 1 --enc_in 12 --dec_in 12 --c_out 12 --d_model 64 --n_heads 4 --e_layers 2 --d_layers 1 --d_ff 128 --factor 1 --expand 2 --d_conv 4 --embed timeF --train_epochs 3 --batch_size 64 --learning_rate 0.0001 --num_workers 0 --des quant --itr 1 --inverse --gpu 0 --gpu_type cuda,12000,2400,2400,1,0,2001,0.83375,0.3243378310844578,0.00041219810984438355,0.00047145007736372143,0.8743197416560708,0.419699343442892,-0.30948999373512187,0.30993677488888505,-0.0001848495408829317,0.5077461269365318,3.0,2.0,ok
GBPUSD,H1,DLinear,C:\Users\29083\AppData\Roaming\MetaQuotes\Terminal\Common\Files\tslib\GBPUSD_H1.csv,D:\python_workspace\Time-Series-Library\results\long_term_forecast_GBPUSD_H1_DLinear_sl96_pl1_DLinear_custom_ftMS_sl96_ll48_pl1_dm64_nh4_el2_dl1_df128_expand2_dc4_fc1_ebtimeF_dtTrue_quant_0,D:\python_workspace\Quant\.venv\liangwen2\Scripts\python.exe run.py --task_name long_term_forecast --is_training 1 --model_id GBPUSD_H1_DLinear_sl96_pl1 --model DLinear --data custom --root_path C:\Users\29083\AppData\Roaming\MetaQuotes\Terminal\Common\Files\tslib --data_path GBPUSD_H1.csv --features MS --target close --freq h --seq_len 96 --label_len 48 --pred_len 1 --enc_in 12 --dec_in 12 --c_out 12 --d_model 64 --n_heads 4 --e_layers 2 --d_layers 1 --d_ff 128 --factor 1 --expand 2 --d_conv 4 --embed timeF --train_epochs 3 --batch_size 64 --learning_rate 0.0001 --num_workers 0 --des quant --itr 1 --inverse --gpu 0 --gpu_type cuda,12000,2400,2400,1,0,2136,0.89,0.40262172284644193,0.000609047255580653,0.000706053711383662,0.8626075407026694,0.5813812578403571,-0.3148459313009645,0.3171327365214204,-0.00017656549434746777,0.523876404494382,3.0,2.0,ok
GBPUSD,H4,DLinear,C:\Users\29083\AppData\Roaming\MetaQuotes\Terminal\Common\Files\tslib\GBPUSD_H4.csv,D:\python_workspace\Time-Series-Library\results\long_term_forecast_GBPUSD_H4_DLinear_sl96_pl1_DLinear_custom_ftMS_sl96_ll48_pl1_dm64_nh4_el2_dl1_df128_expand2_dc4_fc1_ebtimeF_dtTrue_quant_0,D:\python_workspace\Quant\.venv\liangwen2\Scripts\python.exe run.py --task_name long_term_forecast --is_training 1 --model_id GBPUSD_H4_DLinear_sl96_pl1 --model DLinear --data custom --root_path C:\Users\29083\AppData\Roaming\MetaQuotes\Terminal\Common\Files\tslib --data_path GBPUSD_H4.csv --features MS --target close --freq 4h --seq_len 96 --label_len 48 --pred_len 1 --enc_in 12 --dec_in 12 --c_out 12 --d_model 64 --n_heads 4 --e_layers 2 --d_layers 1 --d_ff 128 --factor 1 --expand 2 --d_conv 4 --embed timeF --train_epochs 3 --batch_size 64 --learning_rate 0.0001 --num_workers 0 --des quant --itr 1 --inverse --gpu 0 --gpu_type cuda,12000,2400,2400,1,0,2285,0.9520833333333333,0.45426695842450765,0.0013357025623573202,0.0013981117443295941,0.9553618069332508,0.7952410229324093,-0.30317796937184827,0.32904868448827795,-0.00015623023433352534,0.5102844638949672,3.0,2.0,ok
USDJPY,M15,DLinear,C:\Users\29083\AppData\Roaming\MetaQuotes\Terminal\Common\Files\tslib\USDJPY_M15.csv,D:\python_workspace\Time-Series-Library\results\long_term_forecast_USDJPY_M15_DLinear_sl96_pl1_DLinear_custom_ftMS_sl96_ll48_pl1_dm64_nh4_el2_dl1_df128_expand2_dc4_fc1_ebtimeF_dtTrue_quant_0,D:\python_workspace\Quant\.venv\liangwen2\Scripts\python.exe run.py --task_name long_term_forecast --is_training 1 --model_id USDJPY_M15_DLinear_sl96_pl1 --model DLinear --data custom --root_path C:\Users\29083\AppData\Roaming\MetaQuotes\Terminal\Common\Files\tslib --data_path USDJPY_M15.csv --features MS --target close --freq 15min --seq_len 96 --label_len 48 --pred_len 1 --enc_in 12 --dec_in 12 --c_out 12 --d_model 64 --n_heads 4 --e_layers 2 --d_layers 1 --d_ff 128 --factor 1 --expand 2 --d_conv 4 --embed timeF --train_epochs 3 --batch_size 64 --learning_rate 0.0001 --num_workers 0 --des quant --itr 1 --inverse --gpu 0 --gpu_type cuda,12000,2400,2400,1,0,1995,0.83125,0.3238095238095238,0.00034828981980784525,0.0004399980458922942,0.7915712877804509,0.3790623068244413,-0.3084888434167016,0.3084888434167016,-0.00018474292747510613,0.4942355889724311,3.0,2.0,ok
USDJPY,H1,DLinear,C:\Users\29083\AppData\Roaming\MetaQuotes\Terminal\Common\Files\tslib\USDJPY_H1.csv,D:\python_workspace\Time-Series-Library\results\long_term_forecast_USDJPY_H1_DLinear_sl96_pl1_DLinear_custom_ftMS_sl96_ll48_pl1_dm64_nh4_el2_dl1_df128_expand2_dc4_fc1_ebtimeF_dtTrue_quant_0,D:\python_workspace\Quant\.venv\liangwen2\Scripts\python.exe run.py --task_name long_term_forecast --is_training 1 --model_id USDJPY_H1_DLinear_sl96_pl1 --model DLinear --data custom --root_path C:\Users\29083\AppData\Roaming\MetaQuotes\Terminal\Common\Files\tslib --data_path USDJPY_H1.csv --features MS --target close --freq h --seq_len 96 --label_len 48 --pred_len 1 --enc_in 12 --dec_in 12 --c_out 12 --d_model 64 --n_heads 4 --e_layers 2 --d_layers 1 --d_ff 128 --factor 1 --expand 2 --d_conv 4 --embed timeF --train_epochs 3 --batch_size 64 --learning_rate 0.0001 --num_workers 0 --des quant --itr 1 --inverse --gpu 0 --gpu_type cuda,12000,2400,2400,1,0,2217,0.92375,0.38926477221470457,0.0006087273934223874,0.0007485592996080592,0.8131986253341762,0.5183090204308671,-0.38692649852566874,0.38711396284915,-0.00022021540421551274,0.4993234100135318,3.0,2.0,ok
USDJPY,H4,DLinear,C:\Users\29083\AppData\Roaming\MetaQuotes\Terminal\Common\Files\tslib\USDJPY_H4.csv,D:\python_workspace\Time-Series-Library\results\long_term_forecast_USDJPY_H4_DLinear_sl96_pl1_DLinear_custom_ftMS_sl96_ll48_pl1_dm64_nh4_el2_dl1_df128_expand2_dc4_fc1_ebtimeF_dtTrue_quant_0,D:\python_workspace\Quant\.venv\liangwen2\Scripts\python.exe run.py --task_name long_term_forecast --is_training 1 --model_id USDJPY_H4_DLinear_sl96_pl1 --model DLinear --data custom --root_path C:\Users\29083\AppData\Roaming\MetaQuotes\Terminal\Common\Files\tslib --data_path USDJPY_H4.csv --features MS --target close --freq 4h --seq_len 96 --label_len 48 --pred_len 1 --enc_in 12 --dec_in 12 --c_out 12 --d_model 64 --n_heads 4 --e_layers 2 --d_layers 1 --d_ff 128 --factor 1 --expand 2 --d_conv 4 --embed timeF --train_epochs 3 --batch_size 64 --learning_rate 0.0001 --num_workers 0 --des quant --itr 1 --inverse --gpu 0 --gpu_type cuda,12000,2400,2400,1,0,2339,0.9745833333333334,0.46601111586147925,0.001710474963411662,0.0018136602425826297,0.9431066101862424,0.8230474020040066,-0.3350533512046794,0.3536806443279549,-0.0001713740627905056,0.5113296280461735,3.0,2.0,ok
XAUUSD,M15,DLinear,C:\Users\29083\AppData\Roaming\MetaQuotes\Terminal\Common\Files\tslib\XAUUSD_M15.csv,D:\python_workspace\Time-Series-Library\results\long_term_forecast_XAUUSD_M15_DLinear_sl96_pl1_DLinear_custom_ftMS_sl96_ll48_pl1_dm64_nh4_el2_dl1_df128_expand2_dc4_fc1_ebtimeF_dtTrue_quant_0,D:\python_workspace\Quant\.venv\liangwen2\Scripts\python.exe run.py --task_name long_term_forecast --is_training 1 --model_id XAUUSD_M15_DLinear_sl96_pl1 --model DLinear --data custom --root_path C:\Users\29083\AppData\Roaming\MetaQuotes\Terminal\Common\Files\tslib --data_path XAUUSD_M15.csv --features MS --target close --freq 15min --seq_len 96 --label_len 48 --pred_len 1 --enc_in 12 --dec_in 12 --c_out 12 --d_model 64 --n_heads 4 --e_layers 2 --d_layers 1 --d_ff 128 --factor 1 --expand 2 --d_conv 4 --embed timeF --train_epochs 3 --batch_size 64 --learning_rate 0.0001 --num_workers 0 --des quant --itr 1 --inverse --gpu 0 --gpu_type cuda,12000,2400,2400,1,0,2326,0.9691666666666666,0.4445399828030954,0.0014953940791574672,0.0015870859925989707,0.9422262474314003,0.7540727088576377,-0.4008102638709745,0.4596982479993532,-0.00021680035450947932,0.5081685296646603,3.0,2.0,ok
